epoch,acc,loss,lr,val_acc,val_loss
0,0.5000128149986267,0.25628969073295593,0.002,0.5003219842910767,0.25319889187812805
1,0.4999684989452362,0.25194525718688965,0.0017888889,0.49984198808670044,0.25105640292167664
2,0.499983012676239,0.2507438063621521,0.0015777778,0.5000519752502441,0.2504711151123047
3,0.5001028776168823,0.25039151310920715,0.0013666666,0.5004439949989319,0.25059568881988525
4,0.5000913739204407,0.2502337694168091,0.0011555556,0.4996959865093231,0.29035091400146484
5,0.5001575946807861,0.25020626187324524,0.00094444444,0.49966201186180115,0.2501775324344635
6,0.4995275139808655,0.2501545250415802,0.00073333335,0.5008500218391418,0.25031760334968567
7,0.5000128746032715,0.2501147389411926,0.0005222222,0.5006440281867981,0.25020650029182434
8,0.5001509189605713,0.25009095668792725,0.0003111111,0.49973800778388977,0.2501671016216278
9,0.5001702904701233,0.25007325410842896,1e-04,0.4989889860153198,0.25006794929504395
10,0.5003799200057983,0.25022000074386597,0.002,0.5004209876060486,0.2501135468482971
11,0.4997780919075012,0.25016969442367554,0.0017888889,0.5003190040588379,0.2501489818096161
12,0.500032901763916,0.25016558170318604,0.0015777778,0.4999220073223114,0.25114038586616516
13,0.4999588131904602,0.2501164972782135,0.0013666666,0.499877005815506,0.2626088559627533
14,0.4996371865272522,0.2500903904438019,0.0011555556,0.5003290176391602,0.2500746548175812
15,0.4999941885471344,0.2500619888305664,0.00094444444,0.49951300024986267,0.2502201199531555
16,0.49985548853874207,0.25005361437797546,0.00073333335,0.49982699751853943,0.2500271797180176
17,0.5000602006912231,0.2500392496585846,0.0005222222,0.5005549788475037,0.2500501871109009
18,0.4998852014541626,0.2500287592411041,0.0003111111,0.4996809959411621,0.2502013146877289
19,0.4998408854007721,0.25002244114875793,1e-04,0.5010709762573242,0.2500234544277191
20,0.49994760751724243,0.2501472234725952,0.002,0.5000609755516052,0.25006335973739624
21,0.5002167224884033,0.2501407563686371,0.0017888889,0.5002650022506714,0.2500602602958679
22,0.4999117851257324,0.2500724494457245,0.0015777778,0.500432014465332,0.27019304037094116
23,0.4997585117816925,0.250101238489151,0.0013666666,0.500495970249176,0.25004369020462036
24,0.5003964900970459,0.25007516145706177,0.0011555556,0.5000619888305664,0.2503969967365265
25,0.49969619512557983,0.25008711218833923,0.00094444444,0.5003359913825989,0.2500324547290802
26,0.4998779892921448,0.2500307261943817,0.00073333335,0.5,0.25001803040504456
27,0.5001105070114136,0.25002405047416687,0.0005222222,0.5006380081176758,0.2500242292881012
28,0.499563992023468,0.2500263750553131,0.0003111111,0.4996449947357178,0.25002196431159973
29,0.500228226184845,0.2500191628932953,1e-04,0.5005090236663818,0.2500152885913849
30,0.4998213052749634,0.25010401010513306,0.002,0.5000849962234497,0.2500418424606323
31,0.49995291233062744,0.2500966489315033,0.0017888889,0.4997189939022064,0.2565307915210724
32,0.5002012252807617,0.25008735060691833,0.0015777778,0.4991599917411804,0.25009685754776
33,0.4997200071811676,0.25008270144462585,0.0013666666,0.4997110068798065,0.2500411868095398
34,0.4999060034751892,0.2500445544719696,0.0011555556,0.500577986240387,0.3495739996433258
35,0.4999715983867645,0.25005871057510376,0.00094444444,0.49957001209259033,0.2500428855419159
36,0.49981459975242615,0.2500394582748413,0.00073333335,0.4996980130672455,0.25001776218414307
37,0.499783992767334,0.25001728534698486,0.0005222222,0.5001270174980164,0.2500099539756775
38,0.49980229139328003,0.2500152289867401,0.0003111111,0.49970901012420654,0.2500148117542267
39,0.5001558065414429,0.2500108480453491,1e-04,0.4990600049495697,0.2500094175338745
40,0.49986758828163147,0.25007227063179016,0.002,0.49867498874664307,0.2702363133430481
41,0.5000430941581726,0.250045508146286,0.0017888889,0.5001729726791382,0.2500547170639038
42,0.4999189078807831,0.25008514523506165,0.0015777778,0.49936699867248535,0.25023800134658813
43,0.5001152753829956,0.25005483627319336,0.0013666666,0.5009980201721191,0.2500371038913727
44,0.5000631213188171,0.25006088614463806,0.0011555556,0.49985599517822266,0.2500610053539276
45,0.5000047087669373,0.2500581741333008,0.00094444444,0.49832698702812195,0.25030431151390076
46,0.5002533197402954,0.25003930926322937,0.00073333335,0.49984800815582275,0.25008609890937805
47,0.5000019073486328,0.2500341534614563,0.0005222222,0.4992319941520691,0.250016987323761
48,0.5000485777854919,0.2500157952308655,0.0003111111,0.5004270076751709,0.2500093877315521
49,0.5000773072242737,0.2500095069408417,1e-04,0.5005450248718262,0.250007688999176
Best validation accuracy: 0.5010709762573242
Test accuracy: 0.500 ± 7*10^-4
Mean accuracy: 0.499922
Std accuracy:  0.000242
