epoch,acc,loss,lr,val_acc,val_loss
0,0.8587980270385742,0.10491898655891418,0.002,0.9091876745223999,0.07460039854049683
1,0.9158042669296265,0.06858032196760178,0.0017888889,0.9145077466964722,0.06862246990203857
2,0.9225075244903564,0.06344065070152283,0.0015777778,0.9241743087768555,0.06317254155874252
3,0.9286917448043823,0.0595032200217247,0.0013666666,0.9284818172454834,0.05955689772963524
4,0.9339584112167358,0.05628121644258499,0.0011555556,0.9349505305290222,0.05606183037161827
5,0.9379192590713501,0.053415361791849136,0.00094444444,0.9388077259063721,0.05257898196578026
6,0.9406387209892273,0.05105754733085632,0.00073333335,0.941114068031311,0.050724614411592484
7,0.9425177574157715,0.04937291145324707,0.0005222222,0.9425929188728333,0.04937542974948883
8,0.9441525340080261,0.04791959002614021,0.0003111111,0.9445660710334778,0.0475408136844635
9,0.9453961253166199,0.0467415452003479,1e-04,0.9456557035446167,0.04656512662768364
10,0.9405034780502319,0.051679324358701706,0.002,0.9419255256652832,0.051226429641246796
11,0.943145751953125,0.049962952733039856,0.0017888889,0.9427700638771057,0.05072738230228424
12,0.944270133972168,0.04892958328127861,0.0015777778,0.9427910447120667,0.04964790865778923
13,0.9453181028366089,0.047728531062603,0.0013666666,0.9420015811920166,0.0497482493519783
14,0.9460692405700684,0.04680197685956955,0.0011555556,0.9448352456092834,0.04858089238405228
15,0.9469921588897705,0.045780569314956665,0.00094444444,0.9446691274642944,0.04719033092260361
16,0.9474654793739319,0.045036859810352325,0.00073333335,0.9473716616630554,0.04494354873895645
17,0.948100745677948,0.04423268139362335,0.0005222222,0.9479670524597168,0.04438496753573418
18,0.9489238262176514,0.04337101802229881,0.0003111111,0.9495078921318054,0.04301650822162628
19,0.9494888782501221,0.042706817388534546,1e-04,0.9494898915290833,0.04275956377387047
Best validation accuracy: 0.9495078921318054
Test accuracy: 0.949658989906311
